operation,datetime,price
Оплата товаров и услуг BUSHE,31.08.2024 15:31,-445.0
PEREKRESTOK VOSSTANIYA,30.08.2024 21:12,-199.98
Оплата товаров и услуг DNS  4560,30.08.2024 21:30,-150.0
на банковский счёт,01.09.2024 20:21,20244058.51
на банковский счёт,01.09.2024 20:21,3263.53
Оплата товаров и услуг OBEDOV,30.08.2024 12:45,-120.0
PYATEROCHKA 11,31.08.2024 17:17,-1324.21
OBEDOV,02.09.2024 12:40,-120.0
Оплата товаров и услуг Rostics,01.09.2024 19:16,-300.0
G.M.,03.09.2024 08:11,-145.0
OBEDOV,03.09.2024 12:56,-100.0
LAVKA,05.09.2024 14:19,-507.0
LAVKA,05.09.2024 14:19,20240.0
Сбербанк,06.09.2024 08:12,450.0
OBEDOV,05.09.2024 12:24,-120.0
LYUBYAT,04.09.2024 17:23,-76.0
PEREKRESTOK PLESECKAYA,04.09.2024 17:41,-139.99
Сбербанк,07.09.2024 10:05,30000.19
клиента,07.09.2024 10:12,-30000.0
OBEDOV,06.09.2024 12:48,-120.0
Сбербанк,07.09.2024 21:06,4800.54
Сбербанк,07.09.2024 22:03,-550.0
SEMISHAGOFF,05.09.2024 23:38,-244.97
BULOCHNAYA,06.09.2024 08:12,-100.0
MM  ALIBASHAY,06.09.2024 18:37,-50.99
клиента,09.09.2024 11:55,-2000.0
Оплата товаров и услуг nordbc.uds,08.09.2024 15:00,-800.0
PEREKRESTOK PLESECKAYA,07.09.2024 21:06,-249.98
LYUBYAT,07.09.2024 19:07,-76.0
клиента,09.09.2024 17:52,1000.0
Сбербанк,10.09.2024 13:18,2420.0
клиента,10.09.2024 13:19,-2000.0
клиента,10.09.2024 13:19,-1000.0
Оплата товаров и услуг SPBPU,09.09.2024 17:53,-1420.0
клиента,10.09.2024 21:12,500.0
YANDEX.TAXI,10.09.2024 21:45,-575.0
YANDEX.TAXI,11.09.2024 00:52,-98.0
клиента,11.09.2024 02:23,500.0
клиента,11.09.2024 02:28,300.0
YANDEX.TAXI,11.09.2024 02:58,-617.0
OBEDOV,10.09.2024 13:02,-120.0
Сбербанк,12.09.2024 15:58,2000.0
EDA,12.09.2024 15:58,-427.5
EDA,12.09.2024 15:58,-2.5
EDA,12.09.2024 16:02,-4.0
YANDEX.SPLIT,12.09.2024 17:52,-1060.0
YANDEX.HELP,10.09.2024 21:45,-5.0
